id	res	restype	lang	sex	prov	livingenv	partisanship	caruse	partyvote	agedec	resclean
828	Only agree if government then uses money to use clean energy installations. If it?s another money grab, I totally disagree	support	EN	Male	BC	smalltown	left	commuter	progressive	60+	agre govern use money use clean energi instal anoth money grab total disagre
829	Plus la taxe sur les combustibles fossiles sera élevée moins ils voudront en acheté, ce qui aidera à diminuer les effets nocifs et dommageables sur l’environnement au niveau des émissions qu’ils produ	support	FR	Female	QC	urban	none	driver	progressive	30-39	tax fossil fuel rais less buy help reduc harm damag effect environ term emiss produc
830	Ne sait pas	notsure	FR	Male	QC	ruralremote	right	none	progressive	60+	know
831	I think that it could help push people towards considering renewable energy solutions.	support	EN	Male	QC	suburban	none	driver	progressive	30-39	think could help push peopl toward consid renew energi solut
832	Je crois que cela incite de façon positive a ce que les grandes entreprises, prennent leur responsabilité sociale	support	FR	Male	QC	urban	left	none	progressive	50-59	believ posit encourag larg compani take social respons
833	putting a tax on fossil fuel will not reduce emissions	oppose	EN	Male	QC	urban	right	driver	conservative	50-59	put tax fossil fuel reduc emiss
834	This is just another form of tax on our population. And makes CANADA uncompetetive on the international marketplace. It is only ideologically driven by the current liberal government	oppose	EN	Male	AB	suburban	right	driver	conservative	40-49	anoth form tax popul make canada uncompetet intern marketplac ideolog driven current liber govern
835	Cost to me!	oppose	EN	Female	SK	urban	notsure	commuter	no vote	50-59	cost
836	Making life more expensive for everyone will accomplish nothing. Everything is moved using trucks, which use oil. The costs incurred by the producers/transporters will undoubtedly get passed on to con	oppose	EN	Male	SK	urban	right	driver	conservative	19-29	make life anoth everyon accomplish noth everyth move use truck use oil cost incur produc undoubtedli get pass con transport
837	saskatchewan has their own plans and shouldn't be dictated to by federal government	oppose	EN	Female	SK	suburban	notsure	none	conservative	60+	saskatchewan plan dictat feder govern
838	No buddy can reduce carbon emission by paying taxes.	oppose	EN	Male	BC	smalltown	left	none	conservative	60+	buddi reduc carbon emiss pay tax
839	Because the way to change people's behaviour is to take from money from their pockets.  If things don't change, people don't change.	support	EN	Female	AB	urban	left	none	progressive	60+	way chang peopl behaviour take money pocket thing chang peopl chang
840	Because the government wants to charge individuals a higher percentage rather than targeting the companies who are actually responsible	oppose	EN	Female	AB	suburban	none	none	progressive	60+	govern want charg individu higher percentag rather target compani actual respons
841	So far its the only thing I've heard of, that creates an incentive for business to reduce their emissions. With other approaches business can ignore with little to no impact on them financially	support	EN	Male	ON	urban	left	driver	progressive	60+	far thing heard creat incent busi reduc emiss approach busi ignor littl impact financi
842	i really support putting a priceor tax on fossil to reduce carbon emiisiom in canada to protect the earth from the global warming	support	EN	Male	QC	urban	none	driver	conservative	19-29	realli support put price tax fossil reduc carbon emiss canada protect earth global warm
843	Really just comes down to not being able to afford much more in bills each month.	oppose	EN	Female	SK	urban	none	driver	no vote	40-49	realli come abl afford much bill month
844	Les gens et les entreprises qui polluent doivent payer plus pour les sensibilisé à la pollution.	support	FR	Male	QC	urban	left	none	progressive	50-59	peopl compani pollut must pay sensit pollut
845	It is not up to the individual tax payer to foot this bill. Everyone should do what they can to help the environment, but putting another tax on the people is only a tax grab.	oppose	EN	Female	SK	ruralremote	notsure	none	conservative	60+	individu tax payer foot bill everyon help environ put anoth tax peopl tax grab
846	I think it's a trick to take more money from hard working decent people. I think it's a trick done by the federal government. I don't trust it. I don't understand how gas is so expensive to begin with	oppose	EN	Female	ON	suburban	right	none	conservative	30-39	think trick take money hard work decent peopl think trick done feder govern trust understand ga anoth begin
848	Although putting a price or tax may encourage consumers to think again about their use of fuels, we needs more efforts into providing alternatives to fossil fuels.  We are still heavily dependent on f	support	EN	Male	AB	urban	left	driver	progressive	30-39	although put price tax may encourag consum think use fuel need effort provid altern fossil fuel still heavili depend
849	Taxes means a lot for ordinary working class person or family for it will only do chain reaction to all commodities to go up in prices in the near future, and low income people suffer a lot.	oppose	EN	Male	BC	urban	none	driver	no vote	60+	tax mean lot ordinari work class person famili chain reaction commod go price near futur low incom peopl suffer lot
851	already taxed more than enough. most of the funds collected would go salaries, etc. of government employees	oppose	EN	Male	ON	suburban	none	none	progressive	60+	alreadi tax enough fund collect would go salari etc govern employe
852	This will help in reducing fossil fuel usage and allow companies and the public to buy more environment friendly cars, machines and other polluting products	support	EN	Male	QC	suburban	right	driver	progressive	40-49	help reduc fossil fuel usag allow compani public buy environ friendli car machin pollut product
853	It is just a tax grab and will not affect how much fuel is consumed.	oppose	EN	Male	SK	ruralremote	right	none	conservative	60+	tax grab affect much fuel consum
854	many people can't afford taxes	notsure	EN	Male	QC	urban	notsure	none	progressive	19-29	mani peopl afford tax
855	the money must go into green programs to reduce carbon and pollution we all have a part to play money should also go towards rapid transit	support	EN	Male	BC	ruralremote	left	none	progressive	60+	money must go green program reduc carbon pollut part play money also go toward rapid transit
856	Can't fully support it because I don't really believe it will be revenue neutral. I also don't trust we'll be rebated correctly. I mean how many years is it now the Liberals have been dealing with the	support	EN	Male	BC	suburban	none	commuter	no vote	40-49	fulli support realli believ revenu neutral also trust well rebat correctli mean mani year liber deal
857	Climate change is real	support	EN	Female	AB	urban	right	driver	conservative	30-39	climat chang real
859	People react to prices- ie when it affects the pocket book there are direct consequences.	support	EN	Female	SK	smalltown	right	none	conservative	60+	peopl react price affect pocket book direct consequ
860	We have to do something about climate change	support	EN	Female	ON	smalltown	notsure	none	conservative	60+	someth climat chang
861	is just another tax and will not reduce carbon emmissions	oppose	EN	Male	SK	ruralremote	right	none	conservative	50-59	anoth tax reduc carbon emiss
862	Its just another tax grab	oppose	EN	Male	AB	suburban	right	driver	conservative	60+	anoth tax grab
866	To reduce the effect of greenhouse gases and slow global warming.	support	EN	Female	QC	urban	left	none	progressive	60+	reduc effect greenhous gase slow global warm
867	People need carbon fuels at this time in our climate.  The carbon tax taxgrab will do nothing to help the environment - Just let Justin Trudeau thinks he's accomplinshing something.	oppose	EN	Female	AB	urban	none	driver	conservative	60+	peopl need carbon fuel time climat carbon tax tax noth help environ let justin trudeau think accomplish someth grab
868	I?m not sure	notsure	EN	Female	AB	ruralremote	notsure	driver	conservative	50-59	sure
870	The biggest offenders (corporations, government) will sail through loopholes while the average consumer will foot the bill with little positive impact on the problem.	oppose	EN	Female	ON	urban	notsure	driver	no vote	40-49	biggest offend corpor govern sail loophol averag consum foot bill littl posit impact problem
871	Money grab	notsure	EN	Female	SK	suburban	notsure	driver	conservative	60+	money grab
872	Carbon tax is a money grab by the government. How does taxing people reduce carbon when actually we need it in the air. This is the biggest hoax dreamt up in a long time.	oppose	EN	Female	SK	suburban	right	none	conservative	60+	carbon tax money grab govern tax peopl reduc carbon actual need air biggest hoax dreamt long time
874	It is to deter the use though this won't really aid that. It is a current need no matter the price. We need to be spending money on green solutions and power so that we no longer need fossil fuels.	support	EN	Female	AB	smalltown	notsure	driver	progressive	19-29	deter use though realli aid current need matter price need spend money green solut power longer need fossil fuel
875	money taxed may not be used properly	notsure	EN	Female	ON	urban	right	driver	conservative	60+	money tax may use properli
877	Because it will only hurt the people of lower-middle class. The price now it too high	oppose	EN	Female	AB	suburban	left	none	progressive	50-59	hurt peopl lower class price high middl
878	All it will do is raise the cost of living and it will have no effect on emissions. It's just a tax grab.	oppose	EN	Male	SK	smalltown	right	none	conservative	60+	rais cost live effect emiss tax grab
879	Need to be better informed on the issue	notsure	EN	Female	QC	suburban	notsure	none	progressive	19-29	need better inform issu
880	Les compagnies qui sauront faire des profits  et se différencier seront celles qui sont capable d'éviter cette taxe. Cela aidera l'environnement	support	FR	Male	QC	suburban	right	none	conservative	19-29	compani mak profit differenti abl avoid tax help environ
881	THIS CARBON TAX WOULD AFFECT MY PERSONAL BUDGET AND NOT HAVE ANY RESOURCES TO REPLACE IT.  THE GOVERNMENT PROMISES REBATES BUT THEY DON'T DELIVER.  IT AFFECTS THE LITTLE GUY THE MOST.	oppose	EN	Female	SK	urban	right	driver	conservative	50-59	carbon tax would affect person budget resourc replac govern promis rebat deliv affect littl guy
882	carbon taxing is nothing but a rip off and will line the pockets of the federal gov't.  It will do nothing to reduce any emissions in the country.	oppose	EN	Female	SK	ruralremote	notsure	none	conservative	60+	carbon tax noth rip line pocket feder govern noth reduc emiss countri
883	The only thing that will force most people and businesses to look for/demand greener solutions is their pocket books. There is no good reason to continue to support/subsidize fossil fuel industries wh	support	EN	Female	BC	suburban	left	none	progressive	60+	thing forc peopl busi look greener solut pocket book good reason continu support fossil fuel industri demand subsid
884	to reduce the bad effects but it will cost a reduction in prize in other type of energie that is not bad for the world	support	EN	Male	QC	suburban	none	none	conservative	30-39	reduc bad effect cost reduct prize type energi bad world
885	Making it more expensive doesn't stop or reduce its usage, doesn't stop its affects on the environment. Just makes it more expensive and that cost gets relayed to the consumer.	oppose	EN	Male	AB	suburban	none	driver	no vote	40-49	make anoth stop reduc usag stop affect environ make anoth cost get relay consum
886	Tu fais de l argent alors tu es taxé	support	FR	Male	QC	suburban	left	driver	conservative	50-59	mak money tax
887	Imposition de taxes ne fait pas nécessairement changé la consommation de fossiles. Pas toutes les provinces ont les resources naturelles de compenser avec l?énergie renouvrable comme l?hydroélectricit	oppose	FR	Female	SK	suburban	none	none	progressive	50-59	tax taxat necessarili chang consumpt fossil provinc natur resourc compens reach energi like hydroelectricit
888	don't remember	oppose	EN	Male	ON	suburban	right	driver	conservative	30-39	rememb
889	takes the money from the wrong people	oppose	EN	Male	ON	suburban	notsure	driver	no vote	40-49	take money wrong peopl
890	I am sorry, i don't quite understand the question. However, here is where i will say fossel fuel and gas need to stop and we need to get to using wind, solar and tidal energy instead.	notsure	EN	Female	BC	suburban	notsure	none	progressive	40-49	sorri quit understand question howev say fossil fuel ga need stop need get use wind solar tidal energi instead
891	personally the provincial rebate means we're actually a few dollars better off.  There's evidence that carbon pricing does reduce emmissions	support	EN	Male	AB	smalltown	left	none	progressive	50-59	person provinci rebat mean actual dollar better evid carbon price reduc emiss
892	Je comprends que le gouvernement, la société, doit prendre les moyens pour réduire la consommation, mais il est frustrant de devoir encore payer plus de taxes.	notsure	FR	Female	QC	smalltown	none	driver	progressive	19-29	understand govern societi must take mean reduc consumpt frustrat pay tax
893	Polieur payeur	support	FR	Male	QC	urban	left	none	progressive	40-49	polic payer
894	Canadas fingerprint on carbon emissions is extremely low compared to China or other countries who don't want to participate.	oppose	EN	Male	QC	suburban	none	none	progressive	50-59	canada fingerprint carbon emiss extrem low compar china countri want particip
895	IT WOULD BE BETTER TO PROVIDE INCENTIVES LIKE REBATES ON FUEL EFFICIENT VEHICLES, OR INCENTIVES OF USING MASS TRANSPORTATION, THE TAX DOES NOT CONSIDER THAT SASKATCHEWAN MUST TRAVEL LONG DISTANCES AND	oppose	EN	Male	SK	suburban	right	commuter	conservative	60+	would better provid incent like rebat fuel effici vehicl incent use mass transport tax consid saskatchewan must travel long distanc
896	Without clear alternative to gas, putting tax on it will just give extra weight on people's shoulders. As much as we want to avoid to use gas because it destroys nature,  it is a necessity.	oppose	EN	Female	AB	suburban	none	driver	conservative	19-29	without clear altern ga put tax give extra weight peopl shoulder much want avoid use ga destroy natur necess
897	Extra taxation does little to encourage the average citizen to change their habits.  If real change is wanted the government needs to offer incentives to switch to green energy	oppose	EN	Male	SK	suburban	none	none	conservative	40-49	extra taxat littl encourag averag citizen chang habit real chang want govern need offer incent switch green energi
898	Taxing fossil fuels won't change anything until the alternatives become cheaper, such as the cost of electric cars. Also, until the infrastructure is in place for alternatives like electric cars, it's	oppose	EN	Female	BC	urban	none	none	no vote	30-39	tax fossil fuel chang anyth altern becom cheaper cost electr car also infrastructur place altern like electr car
900	Because it will make absolutely no difference in reducing carbon emissions on a global scale and will only cost me more money to exist.	oppose	EN	Male	SK	urban	right	none	conservative	50-59	mak absolut differ reduc carbon emiss global scale cost money exist
901	Idk	support	EN	Female	ON	urban	none	commuter	no vote	<19	know
902	Encourager les transports en communs et réduire les emission de gaz à effet de serre	support	FR	Male	QC	urban	none	none	progressive	19-29	encourag public transport reduc greenhous ga emiss
903	i think the living expenses is already high	oppose	EN	Female	ON	suburban	right	driver	no vote	30-39	think live expens alreadi high
904	Makes it hard for people to drive, heat, etc. We need solutions that don't hurt the individual Canadian household.	oppose	EN	Male	AB	suburban	right	none	conservative	<19	make hard peopl drive heat etc need solut hurt individu canadian household
905	Not sure if it's worth it.	notsure	EN	Female	BC	ruralremote	left	none	progressive	30-39	sure worth
906	Je me suis trompé	support	FR	Male	QC	suburban	none	driver	no vote	19-29	mistaken
907	The oil and gas industry runs Alberta, and fuels Canada	oppose	EN	Female	AB	suburban	none	driver	conservative	19-29	oil ga industri run alberta fuel canada
908	Desoler mais on vie sur fe longue distance et les moyens de transports en commun nous prennent 5 fois plus de tempps en minutes	oppose	FR	Female	QC	urban	left	none	progressive	30-39	sorri live long distanc mean public transport take us time tempp minut
909	I live out of the city so for me not to use a vehicle does not work. If I had a horse I would use it but I can’t take it into the city.	oppose	EN	Female	SK	ruralremote	none	none	conservative	60+	live citi use vehicl work hors would use take citi
910	Would help reduce fossil fuel emissions	support	EN	Female	ON	urban	left	none	progressive	19-29	would help reduc fossil fuel emiss
911	Souvent le coût total, fait réfléchir si le besoin est réel ou un luxe.	support	FR	Female	QC	ruralremote	none	driver	conservative	30-39	often total cost make think need real luxuri
912	This is because not everyone might be able to afford it	notsure	EN	Female	SK	smalltown	left	none	no vote	19-29	everyon might abl afford
913	Préfère ne pas répondre, merci.	notsure	FR	Female	QC	suburban	notsure	none	no vote	30-39	prefer answer thank
914	Increasing the tax will reduce the use of fossil fuels to only when they are necessary.	support	EN	Female	ON	suburban	left	none	progressive	19-29	increas tax reduc use fossil fuel necessari
915	We already have enough taxed	notsure	EN	Female	SK	urban	left	driver	conservative	30-39	alreadi enough tax
916	I don't see how a tax will reduce emissions.	oppose	EN	Female	AB	ruralremote	right	driver	conservative	30-39	see tax reduc emiss
917	Because as a farmer there aren’t any good alternatives to take its place.	oppose	EN	Female	SK	ruralremote	right	none	conservative	30-39	farmer good altern take place
918	It is a selective tax.  Not all contributors to harmful emissions are subject of this type of tax.	oppose	EN	Male	AB	notsure	none	none	conservative	30-39	select tax contributor harm emiss subject type tax
919	Taxing us more won't change, correct the problem.	oppose	EN	Female	SK	urban	right	none	progressive	60+	tax us chang correct problem
920	I just don?t think we should have to pay	oppose	EN	Female	SK	smalltown	notsure	none	no vote	60+	think pay
921	 Support if tax money used properly to aid in reducing emissions	support	EN	Female	SK	suburban	notsure	none	progressive	60+	support tax money use properli aid reduc emiss
922	Not enough knowledge	notsure	EN	Female	BC	urban	none	driver	no vote	<19	enough knowledg
923	It will make us less competetive raise the cost of living far beyond the abilities of families to pay. it is HORRIBLE policy. Canada makes .003 of the worlds carbon so what difference will it make, es	oppose	EN	Male	SK	urban	right	none	conservative	60+	mak us less competit rais cost live far beyond abil famili pay horribl polici canada make world carbon differ mak
924	Pour decourager den acheter	support	FR	Female	QC	suburban	none	driver	no vote	50-59	discov buy
925	aren't we taxed to death already??	oppose	EN	Female	BC	urban	notsure	driver	conservative	50-59	tax death alreadi
926	Funds are added to gov. General revenue .	oppose	EN	Female	BC	urban	none	none	conservative	60+	fund ad govern gener revenu
927	We all need fossil fuels , even when you don?t drive other products need fossil fuels.	oppose	EN	Female	AB	ruralremote	notsure	driver	no vote	50-59	need fossil fuel even drive product need fossil fuel
928	Based on the price of living, housing and food I think increasing the price will only add more pressure on ppl’s lifes. If the government could reduce other costs of linving and increase the price of	oppose	EN	Female	BC	ruralremote	notsure	none	no vote	30-39	base price live hous food think increas price add pressur peopl life govern could reduc cost live increas price
929	Diminuer la quantité utilisée	support	FR	Female	QC	smalltown	none	driver	no vote	<19	reduc amount use
930	I would like to see Canada move away from fossil fuels and toward alternative renewable energies. If taxing fossil fuels is a way to encourage this I am happy to suppprt.	support	EN	Male	ON	suburban	left	driver	progressive	30-39	would like see canada move away fossil fuel toward altern renew energi tax fossil fuel way encourag happi suppprt
931	Cause it's just a cash grab, it won't change anything.  Easy way for government to use as another constant stream of funds for their use!!	oppose	EN	Male	AB	urban	notsure	none	no vote	60+	caus cash grab chang anyth easi way govern use anoth constant stream fund use
932	Climate change has happened tens of thousands of years ago... and tens of thousands before that. There is strong evidence supporting this pattern of heating and cooling over the past 100000s years. So	oppose	EN	Male	AB	urban	left	driver	conservative	40-49	climat chang happen ten thousand year ago ten thousand strong evid support pattern heat cool past year
933	Not certain it will help.  But if  the taxes collected help to find/ encourage other, and decidedly, less environmentally damaging options, then I support it.	support	EN	Female	SK	suburban	none	commuter	progressive	60+	certain help tax collect help find encourag decidedli less environment damag option support
934	Canada is a carbon-sink country. It does not help to tax us in the name of climate change when the rest of the world is the actual reason for climate change.	oppose	EN	Male	AB	urban	none	driver	conservative	40-49	canada carbon countri help tax us name climat chang rest world actual reason climat chang sink
935	too costly	oppose	EN	Female	AB	urban	none	driver	conservative	50-59	costli
936	I fail to see how a tax on fossil fuels will change the behaviour of people unless and until the tzx is absolutely exhorbitant.	oppose	EN	Male	BC	suburban	right	driver	conservative	60+	fail see tax fossil fuel chang behaviour peopl unless tax absolut exorbit
937	I'd rather the government focus on corporations that pollute the earth than make it harder for regular civilians to live and get to/from work etc. Cars are necessary in this society. There isn't enoug	oppose	EN	Female	BC	suburban	left	none	progressive	19-29	rather govern focu corpor pollut earth mak harder regular civilian live get work etc car necessari societi enough
938	Because of facilities	support	EN	Female	AB	urban	none	none	no vote	30-39	facil
939	utilisateur-payeur	support	FR	Female	QC	suburban	none	driver	progressive	60+	user payer
940	If one has to pay , one will think about what they are doing.	support	EN	Male	AB	urban	none	none	no vote	60+	one pay one think
941	Sounds very unhealthy	notsure	EN	Female	BC	suburban	notsure	none	no vote	30-39	sound unhealthi
942	it helps reduce use of fossil fuels and divert the tax to sustainable energy.	support	EN	Male	AB	urban	none	driver	progressive	40-49	help reduc use fossil fuel divert tax sustain energi
943	Il faut protéger la planète pour ceux qui nous suivront.	support	FR	Female	QC	urban	left	none	progressive	60+	must protect planet follow us
945	Everything is taxed so much already we already pay a carbon tax on fuel and natural gas	oppose	EN	Female	AB	urban	none	driver	conservative	30-39	everyth tax much alreadi alreadi pay carbon tax fuel natur ga
946	it's a necessity and shouldn't be taxed	oppose	EN	Male	AB	urban	none	none	conservative	60+	necess tax
947	Ça peut encourager, et les consommateurs, et les producteurs d'énergie fossile à en diminuer l'utilisation de ces combustibles et à trouver d'autres solutions énergétiques.	support	FR	Male	QC	urban	left	none	progressive	40-49	encourag consum fossil energi produc reduc use fuel find energi solut
948	I think it is a big hoax, just another reason to tax the people.	oppose	EN	Female	ON	ruralremote	right	none	no vote	50-59	think big hoax anoth reason tax peopl
949	If it helps limit consumption, then it is a good idea. I would like to see more responsibility put on the backs of large corporations though, than individuals.	support	EN	Female	AB	suburban	left	driver	progressive	40-49	help limit consumpt good idea would like see respons put back larg corpor though individu
951	Je ne connais pas le sujet	notsure	FR	Female	QC	suburban	left	none	progressive	60+	know subject
952	I believe the preme minister spends money on ehat ever he wants	support	EN	Female	SK	urban	notsure	none	conservative	50-59	believ minist spend money ever want
953	we currently don't have a feasible alternative	oppose	EN	Female	ON	suburban	notsure	none	progressive	19-29	current feasibl altern
954	To protect environment	support	EN	Female	SK	ruralremote	none	driver	progressive	30-39	protect environ
955	Peut-être ils vont diminué la production , oui sa leur dérangera pas.	support	FR	Female	QC	smalltown	notsure	driver	progressive	50-59	perhap decreas product ye bother
956	bien	support	FR	Male	QC	suburban	right	driver	conservative	<19	good
957	I pay enough enough money in taxes now which is mismanaging.	oppose	EN	Female	SK	urban	none	none	conservative	50-59	pay enough enough money tax mismanag
958	I don't know enough about it. But I think that average people can't afford to pay more	notsure	EN	Female	AB	suburban	right	driver	conservative	40-49	know enough think averag peopl afford pay
960	The tax will make no difference, only make the government money.	oppose	EN	Female	BC	suburban	right	none	conservative	60+	tax mak differ mak govern money
961	it will only cost the people more money because regardless if the govt put a tax on gas, people will still need to use and buy it.	oppose	EN	Male	ON	urban	left	none	conservative	30-39	cost peopl money regardless govern put tax ga peopl still need use buy
962	Human beings are only a tiny piece of the puzzle as far as climate change goes. This is a scam.	oppose	EN	Male	ON	urban	none	driver	progressive	30-39	human be tini piec puzzl far climat chang goe scam
963	We already pay to much tax. Every year this damn government wants to take more money away from us.	oppose	EN	Male	SK	urban	notsure	none	progressive	60+	alreadi pay much tax everi year damn govern want take money away us
964	Does not reduce emissions	oppose	EN	Male	AB	urban	none	none	progressive	50-59	reduc emiss
965	not sure	notsure	EN	Female	BC	urban	none	none	no vote	30-39	sure
966	Other things need to be done or changed to reduce emissions.  Raising taxes will not help to reduce the emissions.	oppose	EN	Male	BC	suburban	left	driver	conservative	50-59	thing need done chang reduc emiss rais tax help reduc emiss
967	The cost alone would open avenues to finding better sources	support	EN	Female	BC	urban	notsure	none	progressive	30-39	cost alon would open avenu find better sourc
968	Because, research has also shown that these fossil fuels lead to a loss in respiratory function and also have shown to lead to chronic respiratory diseases. I think, adding tax to these fuels will aut	support	EN	Male	BC	urban	left	none	no vote	19-29	research also shown fossil fuel lead loss respiratori function also shown lead chronic respiratori diseas think ad tax fuel
969	I believe that if people have to pay more for it they may seek ways to limit their actions that create more issues for the environment.	support	EN	Male	SK	suburban	none	driver	progressive	50-59	believ peopl pay may seek way limit action creat issu environ
970	It is less that I oppose the imposition of the tax but more that I DO NOT TRUST governments that collect said tax to spend on mitigating the effects for which the tax would be collected.	oppose	EN	Male	BC	urban	left	none	conservative	60+	less oppos imposit tax trust govern collect said tax spend mitig effect tax would collect
971	It’s too much to pay now, how will I be able to support my family if I can’t afford the gas?	oppose	EN	Female	BC	suburban	notsure	driver	progressive	50-59	much pay abl support famili afford ga
972	proteger l'environnement	support	FR	Male	BC	suburban	none	none	progressive	30-39	protect environ
973	Cause the money will be used to tackle climate change	support	EN	Male	BC	urban	right	none	progressive	19-29	caus money use tackl climat chang
974	As a whole Canada's carbon emissions are almost negligible, so to put extra taxes on the population citing them as a control method is bullshit. They ate doing further damage to a crippled population.	oppose	EN	Female	SK	ruralremote	notsure	driver	conservative	30-39	whole canada carbon emiss almost neglig put extra tax popul cite control method bullshit ate damag crippl popul
975	It is my experience that when there are fees involved people tend to conserve more and think about how much they are using to reduce their costs.	support	EN	Male	BC	suburban	left	none	progressive	50-59	experi fee involv peopl tend conserv think much use reduc cost
977	because it is something people need and rely on. Many of us can not afford more taxes when everything else is also getting more expensive. It is hard enough to put food on the table! If carbon taxes k	oppose	EN	Male	AB	ruralremote	left	driver	no vote	30-39	someth peopl need reli mani us afford tax everyth els also get anoth hard enough put food tabl carbon tax
978	Parce que jen consomme pas	support	FR	Female	QC	urban	left	driver	no vote	30-39	consum
979	were already taxed for everything and I dont see how another tax will actually reduce or control carbon emissions, businesses should be taxed not the people.	notsure	EN	Female	BC	urban	none	none	no vote	30-39	alreadi tax everyth see anoth tax actual reduc control carbon emiss busi tax peopl
980	Balance the fight to reduce.	support	EN	Male	AB	urban	left	none	conservative	60+	balanc fight reduc
981	Extra cost when I?m already careful environmentally	oppose	EN	Female	SK	suburban	notsure	none	progressive	30-39	extra cost alreadi care environment
982	So as to improve the climate conditions in canada	support	EN	Male	AB	smalltown	none	driver	conservative	30-39	improv climat condit canada
983	The only result of this measure is alot less money in people's pockets. No effect on th evironment!	oppose	EN	Male	SK	suburban	right	none	conservative	60+	result measur alot less money peopl pocket effect environ
984	It will not change the amount of fuel used	oppose	EN	Female	QC	suburban	notsure	none	progressive	60+	chang amount fuel use
986	il ce serve de cette raison pour augmenter les prix .	notsure	FR	Male	QC	suburban	none	driver	progressive	60+	serv reason increas price
987	The extra money can be put towards environmental research and people will be less inclined to produce fossil fuels unnecessarily	support	EN	Female	QC	urban	left	none	progressive	<19	extra money put toward environment research peopl less inclin produc fossil fuel unnecessarili
988	It’s not fair to farmers who need to use fuels in order to provide food for the rest of the country.	oppose	EN	Female	SK	smalltown	notsure	driver	conservative	19-29	fair farmer need use fuel order provid food rest countri
989	C,est le seul moyen de rendre responsable les producteurs de combustibles fossiles.	support	FR	Male	QC	urban	left	none	progressive	60+	way mak produc fossil fuel respons
990	It will decrease the number of people from buying	support	EN	Male	ON	suburban	right	driver	progressive	19-29	decreas number peopl buy
991	protection environnement	support	FR	Male	QC	suburban	left	none	progressive	30-39	environment protect
992	Ce n?est une méthode de conscientiser les gens, en prenant de l?argent, plus d?information sur notre responsabilité de consommation	oppose	FR	Female	QC	smalltown	none	none	progressive	60+	method awar take money inform consumpt respons
993	we are already so overtaxed that it does not make sense.	oppose	EN	Female	QC	ruralremote	none	none	progressive	60+	alreadi overtax mak sens
994	Cette mesure n?ameliora pas la situation, ce n?est qu?une source de taxation (encore). Comme le Fonds vert, qui n?est qu?un autre moyen de gaspiller l?argent des contribuables.	oppose	FR	Male	QC	suburban	right	driver	conservative	30-39	measur situat sourc taxat green fund anoth way wast taxpay money like
995	They way they are doing it is stupid....not the same across the country...our emissions in the world are what 1 - 1.5 %.....wont make a difference.  Get rid of coal.....go to hydro, wind, nuke...need	oppose	EN	Male	SK	suburban	none	driver	conservative	60+	way stupid across countri emiss world mak differ get rid coal hydroelectr wind nukene go
996	coldest feb on record  are we getting warmer?	oppose	EN	Male	SK	urban	none	driver	conservative	50-59	coldest februari record get warmer
998	L'essence est essentiel, pas tous les gens sont en mesure d'acheter des voitures électriques. De plus plusieurs loisir (motoneige, motocross...) nécessite du carburant. Et est-il vraiment plus écologi	notsure	FR	Female	QC	ruralremote	right	driver	conservative	19-29	essenc essenti peopl abl buy electr car addit sever leisur snowmobil motocross requir fuel realli ecolog
999	D'en la mesure ou ca peu convaincre les gens d'être plus responsable	support	FR	Male	QC	urban	left	driver	progressive	30-39	measur convinc peopl respons
1000	Les taxes ne reglent absolument aucun probleme, ne servent quà nous vider lea poches et nuisent àu roulement economique...regardez ce que ll,ion vous enleve sur votre paye...si on pourrait le dépenser	oppose	FR	Male	QC	suburban	right	driver	conservative	40-49	tax solv absolut problem use empti pocket harm econom roll look ion remov pay could spend
1001	I really do not know a thing about it	notsure	EN	Female	SK	suburban	none	driver	progressive	40-49	realli know thing
1002	To reduce the numbers of car on the street and emissions of carbon on the big companies	support	EN	Male	QC	suburban	none	none	progressive	60+	reduc number car street emiss carbon big compani
1003	We have to find ways to convince people to reduce their usage. Higher prices generally seem to motivate the population to do so.	support	EN	Female	QC	urban	none	none	progressive	40-49	find way convinc peopl reduc usag higher price gener seem motiv popul
1004	je n'ai pas beaucoup lu sur cette mesure mais je pense que les pour et contre sont pas mal en égalité. Je suis encore hésitante à faire mon choix	notsure	FR	Female	QC	ruralremote	left	none	progressive	60+	read much measur think pro bad equal still hesit mak choic
1005	Diminution du matériel roulant au pétrole.	support	FR	Male	QC	smalltown	left	none	progressive	60+	decreas oil roll stock
1006	We have too many taxes already, there is already a tax on fuel, a tax on a tax is illegal in my opinion	oppose	EN	Male	ON	suburban	notsure	driver	conservative	40-49	mani tax alreadi alreadi tax fuel tax tax illeg opinion
1007	I haven't seen evidence that putting a tax on anything reduces consumption of that item.  Has anyone stopped smoking or drinking alcohol because they are taxed?	oppose	EN	Female	SK	urban	right	driver	conservative	50-59	seen evid put tax anyth reduc consumpt item anyon stop smoke drink alcohol tax
1008	Parce que ça ne règlera malheureusement pas le problème. Et c'est une autre raison pour que le gouvernement se mette des sous dans les poches. Beaucoup d'autres actions doivent être entreprises...	oppose	FR	Female	QC	urban	left	driver	progressive	30-39	unfortun solv problem anoth reason govern put money pocket action must undertaken mani
1009	Like anything else, raising cost does not deal with the main issue.  Each person needs to be responsible for what we do to our environment, then groups and leaders need to follow by example and stop p	oppose	EN	Female	SK	suburban	left	driver	conservative	60+	like anyth els rais cost deal main issu person need respons environ group leader need follow exampl stop
